"date"	"m30_density"
2015-03-29	5720137
2015-03-30	8144329
2015-03-31	8147868
2015-04-01	7774543
2015-04-02	4397031
2015-04-03	4026097
2015-04-04	4579944
2015-04-05	5027816
2015-04-06	8579116
2015-04-07	9030751
2015-04-08	9160870
2015-04-09	9067659
2015-04-10	9262885
2015-04-11	6913335
2015-04-12	6042682
2015-04-13	9039476
2015-04-14	9131692
2015-04-15	9250558
2015-04-16	9402626
2015-04-17	9488947
2015-04-18	7067306
2015-04-19	6228355
2015-04-20	7171602
2015-04-21	9142827
2015-04-22	9315409
2015-04-23	9461790
2015-04-24	9454775
2015-04-25	7038250
2015-04-26	5919904
2015-04-27	9085870
2015-04-28	9389553
2015-04-29	9948993
2015-04-30	9684462
2015-05-01	5438198
2015-05-02	5515834
2015-05-03	6497579
2015-05-04	8909732
2015-05-05	9226473
2015-05-06	9385208
2015-05-07	9358847
2015-05-08	9632163
2015-05-09	7359422
2015-05-10	6358174
2015-05-11	8918301
2015-05-12	9383237
2015-05-13	7465309
2015-05-14	9557623
2015-05-15	6003332
2015-05-16	6020552
2015-05-17	5873869
2015-05-18	9080118
2015-05-19	9235685
2015-05-20	9345041
2015-05-21	9294197
2015-05-22	9481288
2015-05-23	7114429
2015-05-24	6370773
2015-05-25	9009966
2015-05-26	9190186
2015-05-27	9261206
2015-05-28	9386369
2015-05-29	9728083
2015-05-30	7036325
2015-05-31	6292470
2015-06-01	9102904
2015-06-02	9244430.5
2015-06-03	9385957
2015-06-04	5777690
2015-06-05	6665444
2015-06-06	6169590
2015-06-07	5924452
2015-06-08	9453205
2015-06-09	10099775
2015-06-10	9256068
2015-06-11	9146020
2015-06-12	9565199
2015-06-13	6925958
2015-06-14	6236599
2015-06-15	9014741
2015-06-16	9281453
2015-06-17	9363876
2015-06-18	9437660
2015-06-19	9474755
2015-06-20	2905905
2015-06-21	7553111
2015-06-22	9054784
2015-06-23	10131873
2015-06-24	11208962
2015-06-25	9305737
2015-06-26	9218838
2015-06-27	6142211
2015-06-28	1281247
2015-06-29	1929350
2015-06-30	11511608
2015-07-01	11158374
2015-07-02	9213987
2015-07-03	8988402
2015-07-04	5949685
2015-07-05	5606595
2015-07-06	8531827
2015-07-07	8883353
2015-07-08	9217728
2015-07-09	9035210
2015-07-10	8812939
2015-07-11	5779934
2015-07-12	5511971
2015-07-13	8628828
2015-07-14	8608370
2015-07-15	6826316
2015-07-16	8665330
2015-07-17	8332995
2015-07-18	5276230
2015-07-19	5013465
2015-07-20	8088384
2015-07-21	8330192
2015-07-22	8323932
2015-07-23	8370870
2015-07-24	7989217
2015-07-25	5078586
2015-07-26	4879895
2015-07-27	7820731
2015-07-28	7854301
2015-07-29	7982183
2015-07-30	8177818
2015-07-31	7872449
2015-08-01	4909072
2015-08-02	4443685
2015-08-03	6790935
2015-08-04	6632386
2015-08-05	6603714
2015-08-06	6441620
2015-08-07	6324481
2015-08-08	3924683
2015-08-09	3700114
2015-08-10	5766129
2015-08-11	5641719
2015-08-12	5727903
2015-08-13	5809883
2015-08-14	5398111
2015-08-15	952144
2015-08-16	955417
2015-08-17	1349212
2015-08-18	1341041
2015-08-19	1373005
2015-08-20	1346239
2015-08-21	1331748
2015-08-22	1009205
2015-08-23	961715
2015-08-24	6971084
2015-08-25	6829742
2015-08-26	6006234
2015-08-27	6117388
2015-08-28	6194133
2015-08-29	4315890
2015-08-30	4236029
2015-08-31	7193396
2015-09-01	8566187
2015-09-02	8592705
2015-09-03	8752461
2015-09-04	8697902
2015-09-05	6021802
2015-09-06	5703117
2015-09-07	8698982
2015-09-08	8836113
2015-09-09	8894957
2015-09-10	9015993
2015-09-11	9008321
2015-09-12	6333986
2015-09-13	5742007
2015-09-14	8586581
2015-09-15	8949848
2015-09-16	8897085
2015-09-17	9060937
2015-09-18	9109346
2015-09-19	6669217
2015-09-20	6160250
2015-09-21	8801779
2015-09-22	8905384
2015-09-23	8260007
2015-09-24	7375296
2015-09-25	9665994
2015-09-26	6392803
2015-09-27	6160050
2015-09-28	8161723
2015-09-29	9838951
